,着順,枠,馬番,馬名,性齢,負担重量,騎手名,タイム,着差,コーナー週過順位,推定上がり,馬体重,馬体重(増減),調教師名,単勝人気
5,6,5,10,サートゥルナーリア,牡3,56.0,C.スミヨン,1:57.1,1 1/2,2-3-3,34.9,502,+4,角居 勝彦,2
6,7,2,4,スワーヴリチャード,牡5,58.0,横山 典弘,1:57.1,ハナ,7-9-9,34.3,514,-10,庄野 靖志,5
7,8,8,15,ウインブライト,牡5,58.0,松岡 正海,1:57.3,1 1/4,7-8-5,34.8,486,-8,畠山 吉宏,12
8,9,2,3,ケイアイノーテック,牡4,58.0,幸 英明,1:57.5,1,14-15-15,34.2,468,-2,平田 修,14
9,10,4,8,マカヒキ,牡6,58.0,武 豊,1:57.6,3/4,14-13-13,34.4,504,-4,友道 康夫,8
10,11,6,11,,牡4,58.0,北村 宏司,1:57.7,3/4,11-11-12,34.7,502,-2,藤沢 和雄,16
11,12,4,7,スティッフェリオ,牡5,58.0,丸山 元気,1:57.9,1 1/4,2-2-2,35.9,448,+6,音無 秀孝,11
12,13,1,1,カデナ,牡5,58.0,藤岡 佑介,1:58.4,3,16-16-16,34.7,472,-6,中竹 和也,10
13,14,8,16,,牡5,58.0,北村 友一,1:58.7,2,9-6-7,36.1,516,-4,池江 泰寿,9
14,15,7,13,,牡3,56.0,M.デムーロ,1:59.1,2 1/2,9-9-11,36.2,490,0,藤沢 和雄,13
15,16,6,12,ドレッドノータス,せん6,58.0,坂井 瑠星,2:00.1,6,4-3-7,37.5,462,+4,矢作 芳人,15
0,1,7,13,ランブリングアレー,牝5,55.0,武 豊,1:54.8,,8-9-9-9,39.2,474,-6,友道 康夫,7
1,2,6,11,ロザムール,牝5,52.0,北村 宏司,1:54.8,ハナ,1-1-1-1,39.9,498,-4,上原 博之,5
2,3,4,7,フェアリーポルカ,牝5,55.0,和田 竜二,1:54.9,クビ,11-10-7-3,39.5,504,-2,西村 真幸,6
3,4,8,16,ホウオウピースフル,牝4,53.0,大野 拓弥,1:54.9,クビ,15-15-15-13,38.6,498,+4,大竹 正博,12
4,5,3,5,シャドウディーヴァ,牝5,54.0,岩田 康誠,1:55.1,1,15-15-13-13,39.1,478,-2,斎藤 誠,8
5,6,4,8,デンコウアンジュ,牝8,56.0,柴田 善臣,1:55.4,1 1/2,14-14-13-11,39.4,458,-6,荒川 義之,13
6,7,1,2,リアアメリア,牝4,55.0,福永 祐一,1:55.6,1 1/2,6-6-4-5,40.3,490,+8,中内田 充正,3
7,8,8,15,サトノダムゼル,牝5,53.0,田辺 裕信,1:55.7,クビ,5-5-4-5,40.4,462,0,堀 宣行,2
8,9,5,9,ドナアトラエンテ,牝5,53.0,戸崎 圭太,1:55.7,アタマ,3-3-3-3,40.6,458,-10,国枝 栄,1
9,10,5,10,スイープセレリタス,牝5,52.0,横山 武史,1:56.2,3,2-2-2-2,41.2,516,-2,藤沢 和雄,16
10,11,2,4,ロフティフレーズ,牝6,52.0,丸山 元気,1:56.2,ハナ,10-11-12-11,40.4,470,-6,上原 博之,15
11,12,3,6,アブレイズ,牝4,54.0,藤井 勘一郎,1:56.4,1,12-13-15-16,40.1,486,+2,池江 泰寿,10
12,13,7,14,シーズンズギフト,牝4,53.0,津村 明秀,1:56.4,クビ,12-12-10-9,40.7,496,+10,黒岩 陽一,9
13,14,1,1,リリーバレロ,牝6,52.0,M.デムーロ,1:56.9,3,3-3-4-5,41.6,474,-2,堀 宣行,11
14,15,2,3,アルーシャ,牝6,55.0,C.ルメール,1:57.7,5,8-7-7-5,42.3,462,-4,藤沢 和雄,4
15,16,6,12,インターミッション,牝4,53.0,石川 裕紀人,1:57.8,3/4,7-7-10-13,42.1,412,-2,手塚 貴久,14
0,1,8,13,ソダシ,牝3,52.0,吉田 隼人,1:59.5,,2-2-1-1,35.4,472,0,須貝 尚介,2
1,2,4,4,ラヴズオンリーユー,牝5,55.0,川田 将雅,1:59.6,3/4,7-7-6-5,35.1,470,-8,矢作 芳人,1
2,3,5,7,ペルシアンナイト,牡7,57.0,横山 武史,1:59.6,アタマ,5-4-4-3,35.2,502,+10,池江 泰寿,8
3,4,3,3,マイネルウィルトス,牡5,57.0,団野 大成,1:59.9,1 3/4,8-7-8-7,35.2,470,0,宮 徹,11
4,5,8,12,ブラストワンピース,牡6,57.0,岩田 康誠,2:00.0,3/4,11-11-2-2,35.9,540,-8,手塚 貴久,3
5,6,6,8,ユーキャンスマイル,牡6,57.0,藤岡 佑介,2:00.3,1 1/2,9-9-8-7,35.5,516,+6,友道 康夫,9
6,7,6,9,アイスバブル,牡6,57.0,水口 優也,2:00.3,クビ,10-10-10-10,35.3,462,+4,池江 泰寿,12
7,8,7,10,ディアマンミノル,牡4,57.0,泉谷 楓真,2:00.5,1 1/4,12-12-10-10,35.5,464,-2,本田 優,10
8,9,7,11,ウインキートス,牝4,55.0,丹内 祐次,2:00.6,3/4,3-4-4-3,36.2,486,+18,宗像 義忠,5
9,10,4,5,トーラスジェミニ,牡5,57.0,横山 和生,2:00.8,1 1/4,1-1-3-5,36.5,472,+6,小桧山 悟,7
10,11,2,2,サトノセシル,牝5,55.0,C.ルメール,2:01.5,4,5-6-6-9,37.0,476,+10,堀 宣行,4
11,中止,1,1,ステイフーリッシュ,牡6,57.0,坂井 瑠星,,,3-3-10-12,,474,+4,矢作 芳人,6
12,中止,5,6,バイオスパーク,牡6,57.0,池添 謙一,,,,,478,0,浜田 多実雄,13
0,1,2,3,メイショウハリオ,牡4,56.0,浜中 俊,1:50.8,,10-10-9-9,36.1,510,+2,岡田 稲男,5
1,2,3,6,ロードブレス,牡5,57.0,坂井 瑠星,1:50.8,ハナ,11-13-14-13,35.8,498,-6,奥村 豊,6
2,3,3,5,,せん7,57.0,松山 弘平,1:51.2,2 1/2,1-1-1-1,37.2,484,0,高木 登,10
3,4,8,16,,牝4,54.0,藤岡 佑介,1:51.3,1/2,15-15-15-10,36.1,464,+6,野中 賢二,9
4,5,5,10,メイショウムラクモ,牡3,55.0,柴田 善臣,1:51.5,1 1/4,7-7-6-7,37.1,482,0,和田 勇介,2
5,6,6,11,クリンチャー,牡7,57.0,武 豊,1:51.6,3/4,5-5-3-3,37.5,494,+4,宮本 博,1
6,7,4,7,,牡6,57.0,松田 大作,1:51.7,1/2,11-10-10-10,36.8,478,-1,須貝 尚介,4
7,8,4,8,ニューモニュメント,牡5,56.0,藤岡 康太,1:51.9,1 1/4,13-10-15-15,36.7,498,0,小崎 憲,13
8,9,2,4,ヴェンジェンス,牡8,56.0,幸 英明,1:52.0,クビ,6-5-6-5,37.8,484,0,大根田 裕之,8
9,10,1,1,アンセッドヴァウ,せん4,56.0,池添 謙一,1:52.0,クビ,8-7-12-13,37.0,466,-4,中竹 和也,11
10,11,1,2,ロードゴラッソ,牡6,56.0,酒井 学,1:52.3,1 1/2,8-9-10-10,37.4,468,+2,藤岡 健一,15
11,12,5,9,オーヴェルニュ,牡5,58.0,和田 竜二,1:52.4,1/2,3-3-6-7,37.9,480,-2,西村 真幸,3
12,13,8,15,ダンビュライト,せん7,57.0,松若 風馬,1:52.4,クビ,3-3-3-3,38.3,486,-6,音無 秀孝,7
13,14,7,13,アシャカトブ,牡5,56.0,秋山 真一郎,1:52.7,1 3/4,2-2-2-2,38.7,506,-4,小笠 倫弘,12
14,15,7,14,エクスパートラン,牡6,56.0,藤懸 貴志,1:52.9,1,16-15-3-5,38.6,464,-6,小崎 憲,16
15,16,6,12,ラストマン,牡4,56.0,小牧 太,1:52.9,クビ,13-13-12-15,37.8,462,-19,戸田 博文,14
0,1,6,7,エイシンクリック,牡8,60.0,西谷 誠,4:21.2,,2-2-1-1,13.4,478,0,坂口 智康,5
1,2,7,8,レオビヨンド,牡6,60.0,高田 潤,4:21.5,1 1/2,4-5-4-3,13.4,502,+4,高柳 大輔,3
2,3,5,5,オジュウチョウサン,牡11,62.0,石神 深一,4:21.5,クビ,3-3-2-2,13.4,512,+2,和田 正一郎,1
3,4,3,3,ビーオールアイズ,せん5,60.0,植野 貴也,4:23.1,10,8-8-5-5,13.5,450,-8,松下 武士,6
4,5,2,2,タガノエスプレッソ,牡10,60.0,平沢 健治,4:24.8,10,4-3-5-5,13.6,468,+6,五十嵐 忠男,2
5,6,8,11,ベイビーステップ,牡8,60.0,伴 啓太,4:25.2,2,1-1-2-4,13.6,490,+2,菊川 正達,9
6,7,6,6,フリーフリッカー,牡8,60.0,森 一馬,4:25.5,2,7-7-7-7,13.6,492,+2,安田 隆行,4
7,8,7,9,ノーリミッツ,牡6,60.0,北沢 伸也,4:25.7,1 1/4,9-9-9-9,13.6,454,+2,木原 一良,10
8,9,8,10,マイネルプロンプト,せん10,60.0,白浜 雄造,4:27.3,10,4-5-7-8,13.7,482,+4,坂口 智康,8
9,10,1,1,,せん9,60.0,草野 太郎,4:28.1,5,10-10-11-10,13.7,464,-4,武市 康男,7
10,11,4,4,ビルジキール,牡6,60.0,中村 将之,4:28.3,1 1/2,10-11-10-11,13.8,502,0,安達 昭夫,11
0,1,8,16,マイネルファンロン,牡6,55.0,M.デムーロ,1:58.4,,15-15,33.4,478,-4,手塚 貴久,12
1,2,8,17,トーセンスーリヤ,牡6,57.5,横山 和生,1:58.5,1/2,10-10,33.9,488,+6,小野 次郎,3
2,3,7,13,クラヴェル,牝4,52.0,横山 典弘,1:58.5,ハナ,13-13,33.7,460,+8,安田 翔伍,2
3,4,6,12,ヤシャマル,牡4,54.0,菅原 明良,1:58.5,1/2,10-10,33.9,506,-2,尾形 和幸,8
4,5,6,11,ラインベック,牡4,54.0,津村 明秀,1:58.7,1 1/4,2-2,34.6,512,+6,友道 康夫,5
5,6,8,15,プレシャスブルー,牡7,54.0,柴田 善臣,1:58.8,クビ,16-16,33.6,434,-8,相沢 郁,14
6,7,1,1,サトノアーサー,牡7,57.0,石川 裕紀人,1:58.9,1/2,10-10,34.3,490,-2,池江 泰寿,13
7,8,7,14,エフェクトオン,牡5,53.0,木幡 巧也,1:58.9,クビ,14-13,34.0,450,0,久保田 貴士,11
8,9,3,5,リアアメリア,牝4,55.0,川田 将雅,1:59.0,1,3-3,34.8,496,+10,中内田 充正,6
9,10,2,4,,せん5,53.0,杉原 誠人,1:59.0,ハナ,6-9,34.5,440,0,藤沢 和雄,17
10,11,3,6,パルティアーモ,牝5,52.0,横山 武史,1:59.2,1,6-5,34.7,504,0,池上 昌和,4
11,12,5,10,ラーゴム,牡3,53.0,池添 謙一,1:59.3,3/4,16-17,33.9,520,+14,斉藤 崇史,7
12,13,1,2,ザダル,牡5,57.5,石橋 脩,1:59.4,クビ,6-5,35.1,504,0,大竹 正博,1
13,14,2,3,ショウナンバルディ,牡5,55.0,戸崎 圭太,1:59.4,クビ,1-1,35.4,446,-2,松下 武士,9
14,15,5,9,アドマイヤポラリス,牡5,55.0,三浦 皇成,1:59.4,クビ,6-5,35.0,480,-6,友道 康夫,15
15,16,4,7,,牡5,56.0,柴田 大知,2:00.0,3 1/2,3-3,35.8,486,+2,高木 登,16
16,17,4,8,ギベオン,牡6,57.5,岩田 望来,2:01.2,7,3-5,36.9,512,0,藤原 英昭,10
0,1,8,16,アカイイト,牝4,56.0,幸 英明,2:12.1,,13-13-13-7,35.7,514,0,中竹 和也,10
1,2,3,5,ステラリア,牝3,54.0,松山 弘平,2:12.4,2,7-8-8-9,36.1,490,0,斉藤 崇史,7
2,3,1,2,クラヴェル,牝4,56.0,横山 典弘,2:12.5,クビ,14-14-13-12,36.1,456,-4,安田 翔伍,9
3,4,6,11,ソフトフルート,牝4,56.0,岩田 望来,2:12.5,クビ,15-15-15-12,36.0,488,0,斉藤 崇史,11
4,5,2,4,イズジョーノキセキ,牝4,56.0,和田 竜二,2:12.5,ハナ,7-7-5-7,36.5,462,+2,石坂 公一,12
5,6,1,1,レイパパレ,牝4,56.0,C.ルメール,2:12.6,クビ,4-4-3-2,36.9,442,0,高野 友和,1
6,7,2,3,アカイトリノムスメ,牝3,54.0,戸崎 圭太,2:12.6,クビ,5-4-5-3,36.7,452,+4,国枝 栄,2
7,8,6,12,デゼル,牝4,56.0,武 豊,2:12.7,クビ,11-11-12-12,36.3,484,+2,友道 康夫,8
8,9,3,6,ランブリングアレー,牝5,56.0,吉田 隼人,2:12.8,1,9-9-5-3,36.9,478,+4,友道 康夫,6
9,10,8,15,ウインキートス,牝4,56.0,丹内 祐次,2:12.8,アタマ,9-10-8-9,36.6,470,-2,宗像 義忠,5
10,11,4,8,テルツェット,牝4,56.0,M.デムーロ,2:13.0,3/4,12-11-8-9,36.8,424,-2,和田 正一郎,4
11,12,5,10,ムジカ,牝4,56.0,秋山 真一郎,2:13.0,1/2,15-15-15-15,36.4,450,-2,鈴木 孝志,15
12,13,8,17,コトブキテティス,牝4,56.0,柴田 善臣,2:13.2,1,15-17-15-15,36.6,440,-4,田島 俊明,16
13,14,7,13,リュヌルージュ,牝6,56.0,富田 暁,2:14.5,8,5-4-11-15,38.0,474,-2,四位 洋文,17
14,15,4,7,シャムロックヒル,牝4,56.0,団野 大成,2:14.5,ハナ,1-1-1-1,38.9,502,+10,佐々木 晶三,13
15,16,5,9,ウインマリリン,牝4,56.0,横山 武史,2:14.7,1 1/2,3-3-3-3,38.9,472,-4,手塚 貴久,3
16,17,7,14,ロザムール,牝5,56.0,池添 謙一,2:16.7,大差,2-2-2-3,41.0,494,-8,上原 博之,14
0,1,3,3,プラダリア,牡3,56.0,池添 謙一,2:24.2,,5-5-5-5,34.2,456,+2,池添 学,4
1,2,5,7,ロードレゼル,牡3,56.0,川田 将雅,2:24.3,1/2,2-2-2-2,35.1,504,-8,中内田 充正,2
2,3,7,12,エターナルビクトリ,牡3,56.0,武 豊,2:24.4,1/2,13-13-13-13,33.7,450,+4,小崎 憲,6
3,4,8,14,グランシエロ,牡3,56.0,三浦 皇成,2:24.6,1 1/4,10-11-10-8,34.3,514,-10,武井 亮,5
4,5,7,11,レヴァンジル,牡3,56.0,D.レーン,2:24.9,2,4-4-4-4,35.2,478,+2,堀 宣行,1
5,6,4,6,アスクヴィヴァユー,牡3,56.0,菅原 明良,2:25.4,3,8-9-7-8,35.1,500,-4,藤原 英昭,12
6,7,5,8,ロンギングエーオ,牡3,56.0,石橋 脩,2:25.4,クビ,5-7-7-7,35.2,486,0,奥村 武,13
7,8,1,1,クワイエットホーク,牡3,56.0,岩田 望来,2:25.6,1,10-11-10-8,35.3,528,+2,藤原 英昭,9
8,9,2,2,サンライズエース,牡3,56.0,大野 拓弥,2:25.8,1 1/4,10-10-10-12,35.2,480,-4,河内 洋,10
9,10,3,4,メイショウウネビ,牡3,56.0,松岡 正海,2:26.2,2,8-7-7-8,35.9,462,0,本田 優,11
10,11,8,13,ジャスティンスカイ,牡3,56.0,横山 武史,2:26.3,1/2,5-5-6-5,36.3,528,-6,友道 康夫,3
11,12,6,9,オウケンボルト,牡3,56.0,M.デムーロ,2:27.8,9,3-3-3-3,38.2,448,-4,土田 稔,8
12,13,6,10,ディライトバローズ,牡3,56.0,戸崎 圭太,2:30.3,大差,1-1-1-1,41.6,514,-6,杉山 晴紀,7
13,取消,4,5,ダノンギャラクシー,牡3,56.0,C.ルメール,,,,, ,,国枝 栄,
0,1,1,1,,牡6,57.0,浜中 俊,2:03.6,,6-6-4-2,37.8,480,+4,国枝 栄,7
1,2,3,5,マイネルウィルトス,牡6,56.0,M.デムーロ,2:03.8,3/4,16-16-10-3,37.3,468,-2,宮 徹,1
2,3,4,8,スカーフェイス,牡6,55.0,岩田 康誠,2:04.3,3,14-13-13-11,37.7,458,-8,橋田 満,4
3,4,5,10,,牡8,56.0,藤岡 佑介,2:04.4,1,12-12-10-6,37.9,494,-6,鈴木 伸尋,12
4,5,6,12,,牡7,57.5,鮫島 克駿,2:04.6,1,10-11-6-3,38.4,474,-6,高橋 義忠,3
5,6,5,9,アラタ,牡5,56.0,横山 武史,2:04.7,3/4,6-8-6-6,38.5,466,+2,和田 勇介,2
6,7,3,6,,牡5,54.0,高倉 稜,2:04.8,1/2,3-3-2-1,39.2,480,0,矢作 芳人,9
7,8,4,7,,牡6,54.0,坂井 瑠星,2:06.0,7,9-9-6-10,39.7,536,-8,堀 宣行,5
8,9,8,16,ランフォザローゼス,せん6,54.0,柴山 雄一,2:06.3,1 3/4,14-15-16-13,39.1,494,-2,蛯名 正義,14
9,10,2,4,アイスバブル,牡7,54.0,水口 優也,2:06.4,1/2,10-9-6-11,40.2,478,+4,池江 泰寿,11
10,11,7,14,,牡8,56.0,斎藤 新,2:06.5,3/4,13-14-15-13,39.6,472,0,池江 泰寿,10
11,12,2,3,フェアリーポルカ,牝6,55.0,武 豊,2:08.1,10,6-6-5-8,42.0,510,+2,西村 真幸,8
12,13,1,2,,牡7,54.0,丹内 祐次,2:08.3,1 1/2,2-2-2-3,42.8,516,-4,矢野 英一,13
13,14,6,11,,牡5,54.0,丸山 元気,2:09.1,5,1-1-1-8,43.8,494,-2,鹿戸 雄一,15
14,15,8,15,アドマイヤジャスタ,牡6,55.0,吉田 隼人,2:10.2,7,5-5-14-15,43.4,510,+2,石坂 公一,16
15,16,7,13,ギベオン,牡7,57.0,池添 謙一,2:16.9,大差,3-3-10-15,50.4,506,-4,藤原 英昭,6
0,1,3,5,エフフォーリア,牡3,56.0,横山 武史,1:57.9,,6-6-6,33.2,514,+4,鹿戸 雄一,3
1,2,1,1,コントレイル,牡4,58.0,福永 祐一,1:58.0,1,9-8-8,33.0,464,-8,矢作 芳人,1
2,3,5,9,グランアレグリア,牝5,56.0,C.ルメール,1:58.1,クビ,2-2-2,33.8,504,+2,藤沢 和雄,2
3,4,4,8,サンレイポケット,牡6,58.0,鮫島 克駿,1:58.4,1 3/4,10-6-6,33.6,472,0,高橋 義忠,10
4,5,8,15,ヒシイグアス,牡5,58.0,松山 弘平,1:58.7,1 3/4,7-8-8,33.7,492,+2,堀 宣行,7
5,6,2,4,ポタジェ,牡4,58.0,川田 将雅,1:58.7,クビ,4-3-3,34.1,474,+2,友道 康夫,5
6,7,7,13,ペルシアンナイト,牡7,58.0,大野 拓弥,1:58.7,アタマ,15-15-14,33.1,490,-12,池江 泰寿,13
7,8,6,12,ラストドラフト,牡5,58.0,三浦 皇成,1:58.9,1 1/2,7-10-11,33.6,462,-6,戸田 博文,14
8,9,8,16,ユーキャンスマイル,牡6,58.0,藤岡 佑介,1:59.0,クビ,13-14-14,33.4,500,-16,友道 康夫,12
9,10,6,11,,牡7,58.0,柴田 善臣,1:59.1,3/4,11-12-11,33.8,492,-10,角田 晃一,16
10,11,4,7,ワールドプレミア,牡5,58.0,岩田 康誠,1:59.1,アタマ,14-13-11,33.7,482,-4,友道 康夫,6
11,12,7,14,カレンブーケドール,牝5,56.0,戸崎 圭太,1:59.2,1/2,4-3-3,34.7,482,+2,国枝 栄,4
12,13,2,3,モズベッロ,牡5,58.0,池添 謙一,1:59.3,1/2,11-10-8,34.2,482,+2,森田 直行,9
13,14,5,10,,牡5,58.0,横山 典弘,1:59.3,ハナ,1-1-1,35.0,466,-2,北出 成人,11
14,15,3,6,トーセンスーリヤ,牡6,58.0,横山 和生,1:59.4,1/2,2-3-3,34.8,488,0,小野 次郎,8
15,16,1,2,カデナ,牡7,58.0,田辺 裕信,1:59.7,2,16-16-16,33.8,478,+2,中竹 和也,15
0,1,4,4,,牝5,54.0,鮫島 克駿,1:32.8,,6-6,33.7,456,0,池添 兼雄,9
1,2,2,2,アンドヴァラナウト,牝4,55.0,福永 祐一,1:32.9,1/2,3-2,34.2,444,-4,池添 学,1
2,3,3,3,デゼル,牝5,55.0,川田 将雅,1:33.0,クビ,8-8,33.7,484,-4,友道 康夫,2
3,4,5,6,ムジカ,牝5,54.0,池添 謙一,1:33.2,1 1/2,6-6,34.2,452,-2,鈴木 孝志,8
4,5,8,12,マジックキャッスル,牝5,54.0,浜中 俊,1:33.2,アタマ,10-9,33.6,442,-10,国枝 栄,4
5,6,7,9,ジェラルディーナ,牝4,54.0,幸 英明,1:33.2,ハナ,11-11,33.4,450,-4,斉藤 崇史,3
6,7,7,10,クリスティ,牝5,54.0,松若 風馬,1:33.3,クビ,1-1,35.2,488,-6,杉山 晴紀,6
7,8,6,8,ラルナブリラーレ,牝5,54.0,和田 竜二,1:33.4,1,3-4,34.6,478,-4,石坂 公一,5
8,9,6,7,テーオーラフィット,牝4,54.0,岩田 望来,1:33.5,1/2,3-4,34.6,482,+2,上村 洋行,7
9,10,1,1,ローレルアイリス,牝5,54.0,川又 賢治,1:33.8,1 1/2,9-9,34.3,444,+2,杉山 佳明,11
10,11,8,11,,牝7,54.0,藤岡 佑介,1:34.7,5,2-2,36.0,456,+7,橋田 満,10
11,除外,5,5,アカイトリノムスメ,牝4,56.0,戸崎 圭太,,,,,454,+2,国枝 栄,
0,1,1,1,キングオブコージ,牡6,56.0,横山 典弘,2:12.7,,13-13-12-8,34.7,496,-8,安田 翔伍,3
1,2,8,14,マイネルファンロン,牡7,56.0,松岡 正海,2:12.9,1 1/2,12-12-11-6,35.1,490,+4,手塚 貴久,11
2,3,6,9,ボッケリーニ,牡6,56.0,横山 武史,2:13.0,1/2,4-4-7-8,35.5,464,+2,池江 泰寿,4
3,4,2,2,アサマノイタズラ,牡4,56.0,嶋田 純次,2:13.0,ハナ,14-14-14-11,34.8,494,-2,手塚 貴久,7
4,5,4,6,ポタジェ,牡5,56.0,川田 将雅,2:13.1,クビ,6-7-10-8,35.4,474,0,友道 康夫,2
5,6,7,11,オーソクレース,牡4,55.0,C.ルメール,2:13.1,クビ,6-6-3-2,35.8,484,+10,久保田 貴士,1
6,7,3,4,クレッシェンドラヴ,牡8,56.0,津村 明秀,2:13.3,3/4,4-4-3-4,36.0,504,+6,林 徹,12
7,8,8,13,,牡6,56.0,田辺 裕信,2:13.3,ハナ,8-8-3-2,36.0,540,0,堀 宣行,8
8,9,4,5,エヒト,牡5,56.0,北村 宏司,2:13.4,3/4,8-8-7-11,35.8,466,+4,森 秀行,9
9,10,6,10,ラストドラフト,牡6,56.0,戸崎 圭太,2:13.6,1 1/4,8-8-7-6,36.1,470,+8,戸田 博文,5
10,11,5,8,アンティシペイト,牡5,56.0,大野 拓弥,2:13.7,1/2,8-11-12-13,35.8,514,+12,国枝 栄,6
11,12,5,7,ダンビュライト,せん8,56.0,松若 風馬,2:13.7,クビ,2-2-1-1,36.7,480,-9,音無 秀孝,10
12,13,7,12,ソッサスブレイ,せん8,56.0,柴田 大知,2:15.1,8,3-3-2-4,38.1,458,+4,粕谷 昌央,14
13,14,3,3,キャッスルトップ,牡4,57.0,仲野 光馬,2:18.9,大差,1-1-3-14,41.6,448,-1,渋谷 信博,13
0,1,3,4,ウインマリリン,牝4,53.0,横山 武史,2:33.3,,3-3-3-2,34.7,456,-8,手塚 貴久,4
1,2,4,7,カレンブーケドール,牝5,54.0,松山 弘平,2:33.4,1/2,5-5-5-6,34.5,478,0,国枝 栄,1
2,3,2,2,ワールドプレミア,牡5,57.0,石橋 脩,2:33.4,クビ,9-9-5-4,34.5,488,+4,友道 康夫,2
3,4,1,1,ヒュミドール,せん5,56.0,吉田 豊,2:33.9,2 1/2,9-10-9-7,34.7,466,+2,小手川 準,8
4,5,6,10,ジャコマル,牡7,56.0,田中 勝春,2:33.9,アタマ,1-1-1-1,35.5,468,+4,松永 幹夫,13
5,6,5,8,オセアグレイト,牡5,57.0,横山 典弘,2:33.9,クビ,3-3-3-4,35.2,496,+2,菊川 正達,5
6,7,5,9,ムイトオブリガード,牡7,56.0,北村 宏司,2:34.2,1 3/4,11-11-8-7,35.1,500,-10,角田 晃一,12
7,8,7,13,ラストドラフト,牡5,56.0,三浦 皇成,2:34.2,ハナ,13-13-13-14,34.7,462,0,戸田 博文,3
8,9,2,3,アールスター,牡6,56.0,長岡 禎仁,2:34.7,2 1/2,13-13-13-15,35.1,506,0,杉山 晴紀,10
9,10,6,11,シークレットラン,牡5,56.0,田辺 裕信,2:34.8,1,15-15-15-10,35.1,504,0,田村 康仁,9
10,11,8,14,ゴーフォザサミット,牡6,56.0,丸山 元気,2:34.9,1/2,8-8-9-10,35.6,518,-2,藤沢 和雄,14
11,12,7,12,ダンビュライト,せん7,56.0,松若 風馬,2:34.9,ハナ,2-2-2-2,36.4,492,-12,音無 秀孝,7
12,13,8,15,サトノルークス,牡5,56.0,大野 拓弥,2:35.0,1/2,11-11-9-10,35.7,484,-4,池江 泰寿,11
13,14,3,5,ナイママ,牡5,56.0,柴田 大知,2:35.2,1 1/2,6-6-5-7,36.3,474,-8,武藤 善則,15
14,15,4,6,ウインキートス,牝4,53.0,丹内 祐次,2:35.2,ハナ,6-6-9-10,36.0,460,0,宗像 義忠,6
0,1,4,7,レイハリア,牝3,54.0,亀田 温心,1:08.1,,2-2,34.5,446,+2,田島 俊明,13
1,2,1,2,ヨカヨカ,牝3,55.0,幸 英明,1:08.1,ハナ,10-7,34.0,446,-10,谷 潔,3
2,3,4,8,オールアットワンス,牝3,54.0,和田 竜二,1:08.2,1,6-4,34.3,440,+12,中舘 英二,9
3,4,7,14,ファルヴォーレ,牡3,56.0,鮫島 克駿,1:08.3,1/2,16-15,33.5,450,0,高橋 義忠,8
4,5,3,5,モントライゼ,牡3,57.0,C.ルメール,1:08.3,アタマ,12-10,34.0,492,-2,松永 幹夫,1
5,6,5,9,,牝3,54.0,池添 謙一,1:08.3,アタマ,10-10,34.0,466,-4,清水 久詞,12
6,7,8,17,マリーナ,牝3,54.0,坂井 瑠星,1:08.4,クビ,4-4,34.5,428,-4,矢作 芳人,11
7,8,6,11,サルビア,牝3,54.0,福永 祐一,1:08.4,クビ,8-10,34.1,454,-4,鈴木 孝志,4
8,9,8,18,フォイアーロート,牡3,56.0,岩田 康誠,1:08.4,アタマ,13-13,33.9,466,0,浅見 秀一,17
9,10,7,13,アスコルターレ,牡3,57.0,松山 弘平,1:08.5,クビ,14-15,33.7,434,+2,西村 真幸,7
10,11,2,4,インフィナイト,牝3,54.0,藤井 勘一郎,1:08.5,アタマ,4-4,34.7,494,+4,音無 秀孝,6
11,12,1,1,リンゴアメ,牝3,55.0,丹内 祐次,1:08.6,1/2,14-13,34.0,426,-10,菊川 正達,10
12,13,7,15,テイエムトッキュウ,牡3,56.0,松若 風馬,1:08.6,クビ,1-1,35.4,484,+4,木原 一良,14
13,14,5,10,ロングトレーン,牝3,54.0,団野 大成,1:08.7,クビ,16-17,33.8,432,+6,佐々木 晶三,5
14,15,2,3,カンタベリーマッハ,牡3,56.0,鮫島 良太,1:09.1,2 1/2,8-7,35.0,506,+8,鈴木 慎太郎,16
15,16,3,6,ダディーズビビッド,牡3,57.0,武 豊,1:09.4,1 3/4,6-7,35.4,492,+2,千田 輝彦,2
16,17,6,12,リメス,牡3,56.0,浜中 俊,1:09.6,1 1/4,2-2,35.9,464,+4,松永 幹夫,15
17,除外,8,16,ロンギングバース,牡3,56.0,横山 和生,,,,,442,-14,竹内 正洋,
0,1,1,2,スマッシャー,牡3,56.0,坂井 瑠星,1:34.4,,9-8,35.4,468,-2,吉岡 辰弥,7
1,2,8,15,サヴァ,牡3,56.0,石川 裕紀人,1:34.5,1,3-2,36.2,520,+2,上村 洋行,14
2,3,4,7,,せん3,56.0,三浦 皇成,1:34.7,1,11-10,35.5,476,0,野中 賢二,3
3,4,8,16,,牡3,56.0,戸崎 圭太,1:35.1,2 1/2,5-7,36.2,500,+6,高橋 裕,2
4,5,3,6,クリーンスレイト,牡3,56.0,田辺 裕信,1:35.3,1,13-13,35.7,476,-8,久保田 貴士,4
5,6,4,8,サンライズウルス,牡3,56.0,藤井 勘一郎,1:35.3,クビ,14-15,35.4,478,-6,安田 翔伍,6
6,7,2,3,ティアップリオン,牡3,56.0,内田 博幸,1:35.5,1,5-5,36.8,470,-2,奥平 雅士,9
