,着順,枠,馬番,馬名,性齢,負担重量,騎手名,タイム,着差,コーナー週過順位,推定上がり,馬体重,馬体重(増減),調教師名,単勝人気
5,6,4,5,カレンルシェルブル,牡4,53.0,横山 和生,3:31.0,1 3/4,8-9-9-8,35.2,500,+2,安田 翔伍,8
6,7,2,2,セントレオナード,牡6,53.0,丸山 元気,3:31.2,1,11-11-13-13,35.0,480,-2,堀 宣行,14
7,8,1,1,グレンガリー,せん7,54.0,大野 拓弥,3:31.4,1 1/4,1-1-1-1,36.8,450,+12,萩原 清,13
8,9,6,10,レクセランス,牡5,55.0,横山 武史,3:31.4,クビ,10-9-5-4,35.9,488,-6,池添 学,1
9,10,3,4,,せん7,53.0,団野 大成,3:31.5,クビ,13-13-14-13,35.3,480,+4,柄崎 孝,12
10,11,5,8,アンティシペイト,牡5,55.0,田辺 裕信,3:31.9,2 1/2,2-2-2-2,36.8,512,-2,国枝 栄,4
11,12,8,13,ゴースト,せん6,54.0,北村 宏司,3:32.1,1 1/4,3-3-3-4,36.7,492,+2,橋口 慎介,10
12,13,7,12,メロディーレーン,牝6,52.0,菅原 明良,3:32.2,クビ,7-7-8-8,36.4,346,-6,森田 直行,7
13,14,7,11,カウディーリョ,牡6,56.0,M.デムーロ,3:32.2,アタマ,5-6-6-6,36.6,456,+6,堀 宣行,9
0,1,8,17,ヨカヨカ,牝3,51.0,幸 英明,1:08.2,,3-3,34.4,458,+4,谷 潔,5
1,2,3,6,,牡5,55.0,鮫島 克駿,1:08.4,1 1/4,3-3,34.7,520,+2,西村 真幸,4
2,3,6,12,モズスーパーフレア,牝6,56.5,松若 風馬,1:08.4,クビ,1-1,35.2,504,+6,音無 秀孝,2
3,4,5,9,シゲルピンクルビー,牝3,52.0,和田 竜二,1:08.4,ハナ,7-6,34.4,462,0,渡辺 薫彦,6
4,5,7,14,,牡7,58.0,武 豊,1:08.5,3/4,7-6,34.5,472,-8,庄野 靖志,9
5,6,1,1,ボンセルヴィーソ,牡7,55.0,富田 暁,1:08.6,アタマ,2-2,35.0,482,-2,池添 学,12
6,7,4,7,,牡6,57.5,福永 祐一,1:08.6,ハナ,12-13,34.1,510,+8,池江 泰寿,1
7,8,8,16,アスコルターレ,牡3,52.0,藤岡 康太,1:08.6,アタマ,11-10,34.3,442,0,西村 真幸,11
