,レースID,レース日,レースタイトル,レースカテゴリ,レースクラス,レースルール,レース重量,レースコース,着順,枠,馬名ID,馬番,馬名,性齢,負担重量,騎手名,馬体重,馬体重(増減),調教師名,単勝人気
120,7,2019-06-23,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,2,1,19.0,1,キセキ,5,58.0,川田 将雅,506,-2,角居 勝彦,1
121,7,2019-06-23,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,3,8,106.0,11,スワーヴリチャード,5,58.0,M.デムーロ,524,前計不,庄野 靖志,6
122,7,2019-06-23,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,4,4,,4,,5,58.0,北村 友一,520,-4,池江 泰寿,5
123,7,2019-06-23,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,5,2,107.0,2,レイデオロ,5,58.0,C.ルメール,482,前計不,藤沢 和雄,2
124,7,2019-06-23,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,6,7,108.0,10,ノーブルマーズ,6,58.0,高倉 稜,498,0,宮本 博,10
125,7,2019-06-23,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,7,5,28.0,6,スティッフェリオ,5,58.0,丸山 元気,442,-8,音無 秀孝,8
126,7,2019-06-23,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,8,7,72.0,9,クリンチャー,5,58.0,三浦 皇成,496,0,宮本 博,9
127,7,2019-06-23,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,9,3,,3,,4,58.0,横山 典弘,474,2,友道 康夫,4
128,7,2019-06-23,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,10,6,109.0,8,ショウナンバッハ,8,58.0,吉田 豊,458,0,上原 博之,11
129,7,2019-06-23,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,11,6,110.0,7,マカヒキ,6,58.0,岩田 康誠,508,2,友道 康夫,7
130,7,2019-06-23,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,12,5,111.0,5,タツゴウゲキ,7,58.0,秋山 真一郎,496,4,鮫島 一歩,12
131,8,2021-11-14,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,1,8,112.0,16,アカイイト,4,56.0,幸 英明,514,0,中竹 和也,10
132,8,2021-11-14,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,2,3,113.0,5,ステラリア,3,54.0,松山 弘平,490,0,斉藤 崇史,7
133,8,2021-11-14,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,3,1,114.0,2,クラヴェル,4,56.0,横山 典弘,456,-4,安田 翔伍,9
134,8,2021-11-14,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,4,6,115.0,11,ソフトフルート,4,56.0,岩田 望来,488,0,斉藤 崇史,11
135,8,2021-11-14,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,5,2,116.0,4,イズジョーノキセキ,4,56.0,和田 竜二,462,2,石坂 公一,12
136,8,2021-11-14,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,6,1,117.0,1,レイパパレ,4,56.0,C.ルメール,442,0,高野 友和,1
137,8,2021-11-14,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,7,2,118.0,3,アカイトリノムスメ,3,54.0,戸崎 圭太,452,4,国枝 栄,2
138,8,2021-11-14,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,8,6,10.0,12,デゼル,4,56.0,武 豊,484,2,友道 康夫,8
139,8,2021-11-14,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,9,3,119.0,6,ランブリングアレー,5,56.0,吉田 隼人,478,4,友道 康夫,6
140,8,2021-11-14,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,10,8,120.0,15,ウインキートス,4,56.0,丹内 祐次,470,-2,宗像 義忠,5
141,8,2021-11-14,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,11,4,121.0,8,テルツェット,4,56.0,M.デムーロ,424,-2,和田 正一郎,4
142,8,2021-11-14,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,12,5,122.0,10,ムジカ,4,56.0,秋山 真一郎,450,-2,鈴木 孝志,15
