,レース日,レースタイトル,レースカテゴリ,レースクラス,レースルール,レース重量,レースコース,着順,枠,馬番,馬名,性齢,負担重量,騎手名,タイム,着差,コーナー週過順位,推定上がり,馬体重,馬体重(増減),調教師名,単勝人気
2,2019-06-23,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,3,8,11,スワーヴリチャード,牡5,58.0,M.デムーロ,2:11.6,2,4-4-3-3,35.7,524,前計不,庄野 靖志,6
3,2019-06-23,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,4,4,4,,牡5,58.0,北村 友一,2:11.9,2,3-2-3-3,36.1,520,-4,池江 泰寿,5
4,2019-06-23,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,5,2,2,レイデオロ,牡5,58.0,C.ルメール,2:12.1,3/4,6-6-5-5,36.0,482,前計不,藤沢 和雄,2
5,2019-06-23,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,6,7,10,ノーブルマーズ,牡6,58.0,高倉 稜,2:12.4,1 3/4,8-8-8-9,36.0,498,0,宮本 博,10
6,2019-06-23,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,7,5,6,スティッフェリオ,牡5,58.0,丸山 元気,2:12.4,クビ,4-4-5-5,36.3,442,-8,音無 秀孝,8
7,2019-06-23,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,8,7,9,クリンチャー,牡5,58.0,三浦 皇成,2:12.5,3/4,6-7-5-5,36.4,496,0,宮本 博,9
8,2019-06-23,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,9,3,3,,牡4,58.0,横山 典弘,2:12.6,クビ,10-10-8-8,36.4,474,+2,友道 康夫,4
9,2019-06-23,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,10,6,8,ショウナンバッハ,牡8,58.0,吉田 豊,2:12.6,アタマ,11-11-11-11,35.9,458,0,上原 博之,11
10,2019-06-23,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,11,6,7,マカヒキ,牡6,58.0,岩田 康誠,2:12.9,1 1/2,12-12-12-11,36.3,508,+2,友道 康夫,7
11,2019-06-23,宝塚記念,3歳以上,オープン,国際指定,定量,2200メートル芝右,12,5,5,タツゴウゲキ,牡7,58.0,秋山 真一郎,2:13.9,6,9-8-8-9,37.5,496,+4,鮫島 一歩,12
0,2021-11-14,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,1,8,16,アカイイト,牝4,56.0,幸 英明,2:12.1,,13-13-13-7,35.7,514,0,中竹 和也,10
1,2021-11-14,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,2,3,5,ステラリア,牝3,54.0,松山 弘平,2:12.4,2,7-8-8-9,36.1,490,0,斉藤 崇史,7
2,2021-11-14,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,3,1,2,クラヴェル,牝4,56.0,横山 典弘,2:12.5,クビ,14-14-13-12,36.1,456,-4,安田 翔伍,9
3,2021-11-14,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,4,6,11,ソフトフルート,牝4,56.0,岩田 望来,2:12.5,クビ,15-15-15-12,36.0,488,0,斉藤 崇史,11
4,2021-11-14,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,5,2,4,イズジョーノキセキ,牝4,56.0,和田 竜二,2:12.5,ハナ,7-7-5-7,36.5,462,+2,石坂 公一,12
5,2021-11-14,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,6,1,1,レイパパレ,牝4,56.0,C.ルメール,2:12.6,クビ,4-4-3-2,36.9,442,0,高野 友和,1
6,2021-11-14,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,7,2,3,アカイトリノムスメ,牝3,54.0,戸崎 圭太,2:12.6,クビ,5-4-5-3,36.7,452,+4,国枝 栄,2
7,2021-11-14,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,8,6,12,デゼル,牝4,56.0,武 豊,2:12.7,クビ,11-11-12-12,36.3,484,+2,友道 康夫,8
8,2021-11-14,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,9,3,6,ランブリングアレー,牝5,56.0,吉田 隼人,2:12.8,1,9-9-5-3,36.9,478,+4,友道 康夫,6
9,2021-11-14,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,10,8,15,ウインキートス,牝4,56.0,丹内 祐次,2:12.8,アタマ,9-10-8-9,36.6,470,-2,宗像 義忠,5
10,2021-11-14,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,11,4,8,テルツェット,牝4,56.0,M.デムーロ,2:13.0,3/4,12-11-8-9,36.8,424,-2,和田 正一郎,4
11,2021-11-14,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,12,5,10,ムジカ,牝4,56.0,秋山 真一郎,2:13.0,1/2,15-15-15-15,36.4,450,-2,鈴木 孝志,15
12,2021-11-14,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,13,8,17,コトブキテティス,牝4,56.0,柴田 善臣,2:13.2,1,15-17-15-15,36.6,440,-4,田島 俊明,16
13,2021-11-14,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,14,7,13,リュヌルージュ,牝6,56.0,富田 暁,2:14.5,8,5-4-11-15,38.0,474,-2,四位 洋文,17
14,2021-11-14,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,15,4,7,シャムロックヒル,牝4,56.0,団野 大成,2:14.5,ハナ,1-1-1-1,38.9,502,+10,佐々木 晶三,13
15,2021-11-14,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,16,5,9,ウインマリリン,牝4,56.0,横山 武史,2:14.7,1 1/2,3-3-3-3,38.9,472,-4,手塚 貴久,3
16,2021-11-14,エリザベス女王杯,3歳以上,オープン,国際牝指定,定量,2200メートル芝右,17,7,14,ロザムール,牝5,56.0,池添 謙一,2:16.7,大差,2-2-2-3,41.0,494,-8,上原 博之,14
0,2021-04-18,皐月賞,3歳,オープン,国際牡牝指定,定量,2000メートル芝右,1,4,7,エフフォーリア,牡3,57.0,横山 武史,2:00.6,,3-4-4-4,36.7,504,-10,鹿戸 雄一,2
1,2021-04-18,皐月賞,3歳,オープン,国際牡牝指定,定量,2000メートル芝右,2,7,13,タイトルホルダー,牡3,57.0,田辺 裕信,2:01.1,3,2-2-1-1,37.5,462,-4,栗田 徹,8
2,2021-04-18,皐月賞,3歳,オープン,国際牡牝指定,定量,2000メートル芝右,3,2,3,ステラヴェローチェ,牡3,57.0,吉田 隼人,2:01.1,クビ,13-10-10-8,36.7,500,0,須貝 尚介,6
3,2021-04-18,皐月賞,3歳,オープン,国際牡牝指定,定量,2000メートル芝右,4,1,1,アドマイヤハダル,牡3,57.0,C.ルメール,2:01.2,クビ,6-7-7-7,37.1,482,-2,大久保 龍志,3
4,2021-04-18,皐月賞,3歳,オープン,国際牡牝指定,定量,2000メートル芝右,5,3,6,ヨーホーレイク,牡3,57.0,岩田 望来,2:01.2,クビ,10-13-13-8,36.6,504,-2,友道 康夫,11
5,2021-04-18,皐月賞,3歳,オープン,国際牡牝指定,定量,2000メートル芝右,6,8,15,グラティアス,牡3,57.0,M.デムーロ,2:01.3,1/2,6-9-7-8,37.2,500,+2,加藤 征弘,7
6,2021-04-18,皐月賞,3歳,オープン,国際牡牝指定,定量,2000メートル芝右,7,6,11,ディープモンスター,牡3,57.0,戸崎 圭太,2:01.4,クビ,14-14-13-14,36.8,444,-8,池江 泰寿,10
7,2021-04-18,皐月賞,3歳,オープン,国際牡牝指定,定量,2000メートル芝右,8,8,16,レッドベルオーブ,牡3,57.0,福永 祐一,2:01.8,2 1/2,6-4-2-2,38.1,478,+2,藤原 英昭,9
8,2021-04-18,皐月賞,3歳,オープン,国際牡牝指定,定量,2000メートル芝右,9,3,5,ヴィクティファルス,牡3,57.0,池添 謙一,2:02.1,1 3/4,10-10-10-12,37.7,478,-2,池添 学,4
9,2021-04-18,皐月賞,3歳,オープン,国際牡牝指定,定量,2000メートル芝右,10,2,4,イルーシヴパンサー,牡3,57.0,大野 拓弥,2:02.2,3/4,14-14-16-12,37.2,472,+2,久保田 貴士,15
10,2021-04-18,皐月賞,3歳,オープン,国際牡牝指定,定量,2000メートル芝右,11,5,10,シュヴァリエローズ,牡3,57.0,三浦 皇成,2:02.4,1 1/4,10-12-10-14,38.0,440,-4,清水 久詞,13
11,2021-04-18,皐月賞,3歳,オープン,国際牡牝指定,定量,2000メートル芝右,12,6,12,ワールドリバイバル,牡3,57.0,菱田 裕二,2:02.4,ハナ,1-1-2-2,38.8,506,0,牧田 和弥,14
12,2021-04-18,皐月賞,3歳,オープン,国際牡牝指定,定量,2000メートル芝右,13,5,9,ラーゴム,牡3,57.0,北村 友一,2:02.6,3/4,6-7-7-8,38.5,516,+4,斉藤 崇史,5
13,2021-04-18,皐月賞,3歳,オープン,国際牡牝指定,定量,2000メートル芝右,14,1,2,ルーパステソーロ,牡3,57.0,木幡 巧也,2:02.9,1 3/4,16-16-13-16,38.4,534,0,加藤 士津八,16
14,2021-04-18,皐月賞,3歳,オープン,国際牡牝指定,定量,2000メートル芝右,15,4,8,ダノンザキッド,牡3,57.0,川田 将雅,2:03.1,1,3-3-4-5,39.3,504,-8,安田 隆行,1
15,2021-04-18,皐月賞,3歳,オープン,国際牡牝指定,定量,2000メートル芝右,16,7,14,アサマノイタズラ,牡3,57.0,嶋田 純次,2:03.6,3 1/2,5-4-4-5,39.8,494,-6,手塚 貴久,12
0,2020-04-05,大阪杯,4歳以上,オープン,国際指定,定量,2000メートル芝右,1,5,5,ラッキーライラック,牝5,55.0,M.デムーロ,1:58.4,,3-3-3-5,33.9,520,+2,松永 幹夫,2
1,2020-04-05,大阪杯,4歳以上,オープン,国際指定,定量,2000メートル芝右,2,8,12,クロノジェネシス,牝4,55.0,北村 友一,1:58.4,クビ,3-3-3-3,34.0,454,-6,斉藤 崇史,4
2,2020-04-05,大阪杯,4歳以上,オープン,国際指定,定量,2000メートル芝右,3,6,8,ダノンキングリー,牡4,57.0,横山 典弘,1:58.5,クビ,1-1-1-1,34.3,456,-2,萩原 清,1
3,2020-04-05,大阪杯,4歳以上,オープン,国際指定,定量,2000メートル芝右,4,8,11,カデナ,牡6,57.0,鮫島 克駿,1:58.6,3/4,11-11-12-12,33.5,486,+12,中竹 和也,11
4,2020-04-05,大阪杯,4歳以上,オープン,国際指定,定量,2000メートル芝右,5,4,4,ワグネリアン,牡5,57.0,福永 祐一,1:58.8,1 1/4,5-5-5-8,34.0,466,+8,友道 康夫,5
5,2020-04-05,大阪杯,4歳以上,オープン,国際指定,定量,2000メートル芝右,6,7,10,ジナンボー,牡5,57.0,藤岡 佑介,1:58.9,3/4,2-2-2-2,34.7,484,-16,堀 宣行,9
6,2020-04-05,大阪杯,4歳以上,オープン,国際指定,定量,2000メートル芝右,7,3,3,ブラストワンピース,牡5,57.0,川田 将雅,1:59.0,1/2,9-10-8-3,34.4,542,-4,大竹 正博,3
7,2020-04-05,大阪杯,4歳以上,オープン,国際指定,定量,2000メートル芝右,8,5,6,レッドジェニアル,牡4,57.0,酒井 学,1:59.1,3/4,5-5-5-7,34.5,486,0,高橋 義忠,12
8,2020-04-05,大阪杯,4歳以上,オープン,国際指定,定量,2000メートル芝右,9,6,7,ステイフーリッシュ,牡5,57.0,岩田 康誠,1:59.4,1 1/2,5-5-5-5,34.9,464,-2,矢作 芳人,8
9,2020-04-05,大阪杯,4歳以上,オープン,国際指定,定量,2000メートル芝右,10,2,2,,牡5,57.0,藤岡 康太,1:59.4,ハナ,9-8-9-8,34.6,490,-8,堀 宣行,10
10,2020-04-05,大阪杯,4歳以上,オープン,国際指定,定量,2000メートル芝右,11,7,9,マカヒキ,牡7,57.0,L.ヒューイットソン,1:59.5,3/4,8-8-10-8,34.7,494,-12,友道 康夫,7
11,2020-04-05,大阪杯,4歳以上,オープン,国際指定,定量,2000メートル芝右,12,1,1,ロードマイウェイ,牡4,57.0,武 豊,2:00.3,5,12-11-10-8,35.5,474,-2,杉山 晴紀,6
0,2019-12-28,ホープフルステークス,2歳,オープン,国際牡牝指定,馬齢,2000メートル芝右,1,2,2,コントレイル,牡2,55.0,福永 祐一,2:01.4,,4-4-3-2,35.8,462,+6,矢作 芳人,1
1,2019-12-28,ホープフルステークス,2歳,オープン,国際牡牝指定,馬齢,2000メートル芝右,2,4,5,ヴェルトライゼンデ,牡2,55.0,O.マーフィー,2:01.6,1 1/2,6-6-5-4,35.8,492,+2,池江 泰寿,3
2,2019-12-28,ホープフルステークス,2歳,オープン,国際牡牝指定,馬齢,2000メートル芝右,3,5,7,ワーケア,牡2,55.0,C.ルメール,2:01.9,2,11-10-9-7,35.9,492,+6,手塚 貴久,2
3,2019-12-28,ホープフルステークス,2歳,オープン,国際牡牝指定,馬齢,2000メートル芝右,4,8,13,ラインベック,牡2,55.0,岩田 康誠,2:02.2,1 3/4,2-2-2-2,36.9,470,+10,友道 康夫,6
4,2019-12-28,ホープフルステークス,2歳,オープン,国際牡牝指定,馬齢,2000メートル芝右,5,7,11,オーソリティ,牡2,55.0,池添 謙一,2:02.2,クビ,8-8-8-4,36.3,508,+10,木村 哲也,4
5,2019-12-28,ホープフルステークス,2歳,オープン,国際牡牝指定,馬齢,2000メートル芝右,6,6,9,パンサラッサ,牡2,55.0,坂井 瑠星,2:02.7,3,1-1-1-1,37.7,456,-2,矢作 芳人,12
6,2019-12-28,ホープフルステークス,2歳,オープン,国際牡牝指定,馬齢,2000メートル芝右,7,3,3,ブルーミングスカイ,牡2,55.0,田辺 裕信,2:02.8,1/2,2-2-3-4,37.3,464,0,角居 勝彦,7
7,2019-12-28,ホープフルステークス,2歳,オープン,国際牡牝指定,馬齢,2000メートル芝右,8,7,10,ディアセオリー,牡2,55.0,三浦 皇成,2:02.9,クビ,10-8-9-9,36.9,482,+2,高木 登,11
8,2019-12-28,ホープフルステークス,2歳,オープン,国際牡牝指定,馬齢,2000メートル芝右,9,1,1,ブラックホール,牡2,55.0,石川 裕紀人,2:03.3,2 1/2,5-5-5-7,37.5,428,+10,相沢 郁,5
9,2019-12-28,ホープフルステークス,2歳,オープン,国際牡牝指定,馬齢,2000メートル芝右,10,8,12,ラグビーボーイ,牡2,55.0,北村 宏司,2:03.7,2 1/2,12-12-11-11,37.3,504,+20,勢司 和浩,10
10,2019-12-28,ホープフルステークス,2歳,オープン,国際牡牝指定,馬齢,2000メートル芝右,11,4,4,ガロアクリーク,牡2,55.0,丸山 元気,2:04.0,1 3/4,6-6-5-9,38.3,506,+6,上原 博之,9
11,2019-12-28,ホープフルステークス,2歳,オープン,国際牡牝指定,馬齢,2000メートル芝右,12,5,6,ナリノモンターニュ,牡2,55.0,M.デムーロ,2:04.9,5,8-11-11-12,38.4,492,+10,上原 博之,8
12,2019-12-28,ホープフルステークス,2歳,オープン,国際牡牝指定,馬齢,2000メートル芝右,13,6,8,クリノブレーヴ,牡2,55.0,斎藤 新,2:05.7,5,12-12-13-13,38.8,460,+2,長谷川 浩大,13
0,2019-05-12,ヴィクトリアマイル,サラ系4歳以上,オープン,国際牝指定,定量,1600メートル芝左,1,2,4,ノームコア,牝4,55.0,D.レーン,1:30.5,,7-7,33.2,470,+4,萩原 清,5
1,2019-05-12,ヴィクトリアマイル,サラ系4歳以上,オープン,国際牝指定,定量,1600メートル芝左,2,5,9,プリモシーン,牝4,55.0,福永 祐一,1:30.5,クビ,10-10,33.0,498,0,木村 哲也,4
2,2019-05-12,ヴィクトリアマイル,サラ系4歳以上,オープン,国際牝指定,定量,1600メートル芝左,3,2,3,クロコスミア,牝6,55.0,戸崎 圭太,1:30.6,1/2,5-5,33.5,440,-8,西浦 勝一,11
3,2019-05-12,ヴィクトリアマイル,サラ系4歳以上,オープン,国際牝指定,定量,1600メートル芝左,4,3,6,ラッキーライラック,牝4,55.0,石橋 脩,1:30.6,ハナ,5-5,33.5,506,-4,松永 幹夫,1
4,2019-05-12,ヴィクトリアマイル,サラ系4歳以上,オープン,国際牝指定,定量,1600メートル芝左,5,6,11,アエロリット,牝5,55.0,横山 典弘,1:30.9,1 1/2,1-1,34.8,512,前計不,菊沢 隆徳,2
5,2019-05-12,ヴィクトリアマイル,サラ系4歳以上,オープン,国際牝指定,定量,1600メートル芝左,6,5,10,ミエノサクシード,牝6,55.0,川島 信二,1:31.1,1 1/4,15-15,33.1,466,-2,高橋 亮,17
6,2019-05-12,ヴィクトリアマイル,サラ系4歳以上,オープン,国際牝指定,定量,1600メートル芝左,7,8,17,サウンドキアラ,牝4,55.0,田辺 裕信,1:31.2,3/4,13-12,33.5,448,0,安達 昭夫,15
7,2019-05-12,ヴィクトリアマイル,サラ系4歳以上,オープン,国際牝指定,定量,1600メートル芝左,8,4,7,ミッキーチャーム,牝4,55.0,川田 将雅,1:31.2,クビ,2-2,34.7,446,0,中内田 充正,6
8,2019-05-12,ヴィクトリアマイル,サラ系4歳以上,オープン,国際牝指定,定量,1600メートル芝左,9,8,16,ソウルスターリング,牝5,55.0,武 豊,1:31.2,ハナ,4-4,34.3,494,+4,藤沢 和雄,8
9,2019-05-12,ヴィクトリアマイル,サラ系4歳以上,オープン,国際牝指定,定量,1600メートル芝左,10,7,14,レッツゴードンキ,牝7,55.0,岩田 康誠,1:31.2,ハナ,16-15,33.2,502,-2,梅田 智之,13
10,2019-05-12,ヴィクトリアマイル,サラ系4歳以上,オープン,国際牝指定,定量,1600メートル芝左,11,1,2,レッドオルガ,牝5,55.0,北村 友一,1:31.4,1 1/4,7-7,34.1,450,0,藤原 英昭,3
11,2019-05-12,ヴィクトリアマイル,サラ系4歳以上,オープン,国際牝指定,定量,1600メートル芝左,12,4,8,デンコウアンジュ,牝6,55.0,柴田 善臣,1:31.4,クビ,13-12,33.6,454,-4,荒川 義之,10
12,2019-05-12,ヴィクトリアマイル,サラ系4歳以上,オープン,国際牝指定,定量,1600メートル芝左,13,7,13,サトノワルキューレ,牝4,55.0,内田 博幸,1:31.7,1 3/4,16-15,33.7,454,-10,角居 勝彦,14
13,2019-05-12,ヴィクトリアマイル,サラ系4歳以上,オープン,国際牝指定,定量,1600メートル芝左,14,1,1,アマルフィコースト,牝4,55.0,坂井 瑠星,1:32.0,1 3/4,2-2,35.4,456,-6,牧田 和弥,12
14,2019-05-12,ヴィクトリアマイル,サラ系4歳以上,オープン,国際牝指定,定量,1600メートル芝左,15,8,18,フロンテアクイーン,牝6,55.0,三浦 皇成,1:32.2,1,10-10,34.7,480,0,国枝 栄,9
15,2019-05-12,ヴィクトリアマイル,サラ系4歳以上,オープン,国際牝指定,定量,1600メートル芝左,16,6,12,ワントゥワン,牝6,55.0,中谷 雄太,1:32.2,クビ,18-18,33.8,454,-2,藤岡 健一,16
16,2019-05-12,ヴィクトリアマイル,サラ系4歳以上,オープン,国際牝指定,定量,1600メートル芝左,17,3,5,メイショウオワラ,牝5,55.0,秋山 真一郎,1:32.4,1,12-12,34.6,458,0,岡田 稲男,18
17,2019-05-12,ヴィクトリアマイル,サラ系4歳以上,オープン,国際牝指定,定量,1600メートル芝左,18,7,15,カンタービレ,牝4,55.0,M.デムーロ,1:32.5,1/2,7-7,35.2,434,-2,角居 勝彦,7
0,2019-05-05,ＮＨＫマイルカップ,サラ系3歳,オープン,国際牡牝指定,定量,1600メートル芝左,1,8,17,アドマイヤマーズ,牡3,57.0,M.デムーロ,1:32.4,,6-7,33.9,472,+2,友道 康夫,2
1,2019-05-05,ＮＨＫマイルカップ,サラ系3歳,オープン,国際牡牝指定,定量,1600メートル芝左,2,8,18,ケイデンスコール,牡3,57.0,石橋 脩,1:32.5,1/2,12-14,33.6,460,-6,安田 隆行,14
2,2019-05-05,ＮＨＫマイルカップ,サラ系3歳,オープン,国際牡牝指定,定量,1600メートル芝左,3,5,10,カテドラル,牡3,57.0,B.アヴドゥラ,1:32.5,ハナ,12-11,33.7,476,-4,池添 学,7
3,2019-05-05,ＮＨＫマイルカップ,サラ系3歳,オープン,国際牡牝指定,定量,1600メートル芝左,4,2,3,ダノンチェイサー,牡3,57.0,川田 将雅,1:32.7,1 1/4＋クビ,6-7,34.2,476,0,池江 泰寿,3
4,2019-05-05,ＮＨＫマイルカップ,サラ系3歳,オープン,国際牡牝指定,定量,1600メートル芝左,5,4,7,グランアレグリア,牝3,55.0,C.ルメール,1:32.7,4位降着,4-6,34.3,474,-2,藤沢 和雄,1
5,2019-05-05,ＮＨＫマイルカップ,サラ系3歳,オープン,国際牡牝指定,定量,1600メートル芝左,6,4,8,ヴァルディゼール,牡3,57.0,北村 友一,1:32.8,1/2,9-11,34.0,446,-4,渡辺 薫彦,8
6,2019-05-05,ＮＨＫマイルカップ,サラ系3歳,オープン,国際牡牝指定,定量,1600メートル芝左,7,7,14,ハッピーアワー,牡3,57.0,吉田 隼人,1:32.8,ハナ,17-17,33.7,442,-4,武 幸四郎,10
7,2019-05-05,ＮＨＫマイルカップ,サラ系3歳,オープン,国際牡牝指定,定量,1600メートル芝左,8,8,16,トオヤリトセイト,牡3,57.0,福永 祐一,1:32.8,ハナ,6-5,34.5,470,-2,松下 武士,16
